nf	ni	stddev	nstars	line1	line2	ele1	ele2	c0	c1	c2	c3  teffa teffb rata ratb meanr nfit
   418   913    55   421   6625.02   6627.55   FeI   FeI    5171.63   -2332.46       0.00       0.00  4556  6276  0.33  1.93  0.81  5
   419   914   113   419   6625.02   6653.86   FeI   FeI    6225.57   -2673.06       0.00       0.00  4556  6374  0.77  6.15  2.03  5
   420   916   102   412   6699.15   6739.52   FeI   FeI    6188.72    2649.40       0.00       0.00  4578  6374  0.20  1.15  0.57  5
   421   917   114   425   6705.11   6710.32   FeI   FeI    2930.12    2086.69    -516.00      45.61  4556  6374  0.94  5.44  2.47  2
   422   918   119   424   6705.11   6739.52   FeI   FeI    4069.74    4486.80   -3642.77    1431.49  4556  6374  1.22 10.56  3.25  6
   423   919    75   426   6713.05   6710.32   FeI   FeI    3430.59    2587.44    -826.81      90.52  4556  6374  0.47  3.60  1.26  2
   424   920    59   424   6713.74   6710.32   FeI   FeI    3591.29    2744.06   -1017.04     142.46  4556  6361  0.39  2.34  1.09  2
   425   922   100   413   6710.32   6732.07   FeI   FeI    6569.32   -2640.08       0.00       0.00  4578  6374  1.05  6.52  2.74  5
   426   923    63   430   6733.15   6710.32   FeI   FeI    3444.76    2465.89    -820.68     106.42  4556  6374  0.55  3.07  1.39  2
   427   926    71   418   6713.05   6739.52   FeI   FeI    5022.26    2408.22       0.00       0.00  4556  6276  0.53  3.09  1.60  5
   428   927    55   422   6713.74   6739.52   FeI   FeI    3604.92    2187.47    -686.09      81.59  4556  6276  0.49  3.13  1.41  2
   429   929    85   414   6732.07   6739.52   FeI   FeI    6242.22    2560.64       0.00       0.00  4578  6361  0.20  1.23  0.53  5
   430   930    62   426   6733.15   6739.52   FeI   FeI    4953.24    2310.65       0.00       0.00  4556  6374  0.62  5.47  1.80  5
   431   931   105   406   6739.52   6745.11   FeI   FeI    6223.34   -2938.34       0.00       0.00  4698  6361  0.88  3.57  1.83  5
   432   933    71   426   6739.52   6793.26   FeI   FeI    5639.73   -3066.01       0.00       0.00  4671  6361  0.59  2.28  1.17  5
