nf	ni	stddev	nstars	line1	line2	ele1	ele2	c0	c1	c2	c3  teffa teffb rata ratb meanr nfit
   158   402    56   409   5996.73   6064.63   NiI   TiI    4538.87    1003.21    -260.53      27.78  4624  6361  0.15  4.49  1.52  2
   159   403    57   417   6086.29   6064.63   NiI   TiI    4497.58     533.90     -72.38       3.69  4595  6361  0.28 10.38  3.24  2
   160   404    52   418   6111.08   6064.63   NiI   TiI    4506.88     646.01    -107.37       7.04  4624  6361  0.22  7.73  2.58  2
   161   405    71   412   6119.76   6064.63   NiI   TiI    4594.80    1534.87    -594.53      98.94  4624  6361  0.06  2.65  0.88  2
   162   406    48   414   6130.14   6064.63   NiI   TiI    4541.89     951.36    -238.34      24.41  4624  6361  0.11  4.83  1.64  2
   163   408    97   419   6064.63   6027.06   TiI   FeI    6251.26   -3840.40    3502.49   -1206.06  4578  6146  0.06  1.19  0.32  2
   164   409    91   409   6064.63   6034.04   TiI   FeI    5731.58   -1357.35       0.00       0.00  4556  6361  0.20 13.18  2.06  5
   165   410    95   391   6064.63   6035.34   TiI   FeI    6628.01    -735.03     105.18      -5.23  4556  6227  0.63  9.69  2.66  2
   166   411    93   399   6064.63   6054.08   TiI   FeI    6644.04   -1129.15     251.12     -19.38  4556  6161  0.55  6.50  1.76  2
   167   412    98   416   6064.63   6056.01   TiI   FeI    6232.95   -4130.13    3896.48   -1308.30  4556  6146  0.06  1.24  0.29  2
   168   413   100   418   6078.49   6064.63   FeI   TiI    4352.65     335.31     -25.25       0.67  4556  6361  0.96 19.06  6.16  2
   169   414    75   417   6079.01   6064.63   FeI   TiI    4394.44     556.18     -73.36       3.57  4556  6361  0.43 10.75  3.51  2
   170   415    76   419   6064.63   6089.57   TiI   FeI    4981.69   -1341.89       0.00       0.00  4578  6276  0.07  2.57  0.56  5
   171   416    65   420   6094.38   6064.63   FeI   TiI    4481.54    1008.70    -245.69      25.75  4578  6361  0.11  4.15  1.54  2
   172   417    61   407   6098.25   6064.63   FeI   TiI    4401.13    1304.37    -388.86      48.47  4578  6361  0.21  3.53  1.31  2
   173   418    82   412   6064.63   6127.91   TiI   FeI    4880.76   -1217.58       0.00       0.00  4556  6276  0.09  1.94  0.46  5
   174   419    60   437   6086.29   6126.22   NiI   TiI    4263.10    1366.42    -367.74      41.08  4556  6361  0.20  3.53  1.38  2
   175   420    69   434   6111.08   6126.22   NiI   TiI    4341.18    1441.24    -364.36      37.13  4556  6361  0.15  2.73  1.10  2
   176   422    92   431   6130.14   6126.22   NiI   TiI    4412.96    2070.84    -753.86     111.27  4556  6361  0.07  1.75  0.69  2
   177   423    70   434   6175.37   6126.22   NiI   TiI    4119.36    1452.22    -414.99      47.88  4556  6403  0.31  3.81  1.59  2
   178   424    67   441   6176.82   6126.22   NiI   TiI    4085.56    1166.70    -261.46      22.61  4556  6361  0.35  5.12  2.08  2
   179   425    79   434   6186.72   6126.22   NiI   TiI    4347.39    1615.39    -500.74      76.85  4556  6374  0.14  2.21  0.98  2
   180   426    98   434   6078.49   6126.22   FeI   TiI    3731.06    1197.07    -222.56      14.67  4556  6276  0.67  7.05  2.64  2
   181   427    78   440   6079.01   6126.22   FeI   TiI    3960.95    1723.78    -530.50      64.77  4556  6374  0.30  3.66  1.51  2
   182   428    86   428   6089.57   6126.22   FeI   TiI    3881.32    2206.86    -800.44     117.38  4556  6374  0.32  2.83  1.17  2
   183   429   111   427   6094.38   6126.22   FeI   TiI    4507.10    1458.47       0.00       0.00  4556  6374  0.07  1.31  0.65  1
   184   431    84   439   6127.91   6126.22   FeI   TiI    3870.40    1849.99    -595.58      72.76  4556  6374  0.39  3.95  1.57  2
   185   432    95   437   6157.73   6126.22   FeI   TiI    3807.82    1486.28    -369.67      33.68  4556  6374  0.54  5.26  2.07  2
   186   434    83   431   6165.36   6126.22   FeI   TiI    3964.42    1794.06    -595.51      78.70  4556  6374  0.34  3.55  1.49  2
   187   438    60   415   6598.60   6599.12   NiI   TiI    4556.21     912.23    -212.24      19.24  4624  6227  0.11  5.01  1.60  2
   188   439    60   419   6599.12   6635.13   TiI   NiI    5343.12   -1189.96       0.00       0.00  4556  6227  0.21  7.90  1.14  5
   189   440    70   418   6627.55   6599.12   FeI   TiI    4408.15     912.76    -187.62      14.74  4556  6227  0.19  5.57  1.85  2
   190   441    99   411   6599.12   6653.86   TiI   FeI    5761.44   -1485.81       0.00       0.00  4556  6276  0.51  8.57  1.98  5
   191   451    68   420   4600.75   4588.20   CrI  CrII    7127.62   -1459.21     317.05     -24.04  4595  6289  0.51  5.69  1.91  2
   192   452    95   424   4592.05   4600.75  CrII   CrI    4474.93    2189.33       0.00       0.00  4556  6289  0.08  0.91  0.46  1
   193   455    74   434   4588.20   4626.18  CrII   CrI    4457.80    1598.77       0.00       0.00  4556  6374  0.10  1.28  0.64  1
   194   456    82   429   4592.05   4626.18  CrII   CrI    4447.74    2254.26       0.00       0.00  4556  6374  0.08  0.89  0.46  1
   195   460    79   432   4964.93   4952.65   CrI   FeI    7192.58   -2641.19     916.25    -103.62  4556  6374  0.36  2.46  0.98  2
   196   473   118   431   5243.78   5247.57   FeI   CrI    4374.38    1324.44   -2675.90    4611.28  4556  6374  0.28  0.85  0.65  2
   197   488   100   443   5243.78   5300.75   FeI   CrI    3543.46    2083.31       0.00       0.00  4556  6287  0.42  1.46  0.93  1
   198   492    94   424   6322.17   6330.13   NiI   CrI    4345.77    2832.52   -1360.44     294.18  4578  6374  0.08  1.22  0.54  2
   199   493   106   426   6330.13   6360.81   CrI   NiI    6027.59   -1710.93       0.00       0.00  4556  6361  0.75  7.71  2.41  5
   200   494    62   421   6330.13   6378.26   CrI   NiI    7110.82   -2165.26     743.14     -93.77  4671  6403  0.35  3.28  1.27  2
   201   495   107   430   6330.13   6290.98   CrI   FeI    4919.90   -2007.14       0.00       0.00  4556  6374  0.18  1.59  0.59  5
   202   497    79   427   6330.13   6315.81   CrI   FeI    5328.37   -2164.86       0.00       0.00  4556  6403  0.29  2.82  0.95  5
   203   498    98   427   6330.13   6380.75   CrI   FeI    5183.93   -1877.08       0.00       0.00  4556  6374  0.23  2.43  0.80  5
