nf	ni	stddev	nstars	line1	line2	ele1	ele2	c0	c1	c2	c3  teffa teffb rata ratb meanr nfit
49	 141	 69	 649	 6142.49	 6128.98	 SiI	 NiI	 6919.61	 -1947.77	 552.13	 -51.82	 4550	 6374	 0.37	 5.30	 1.32	 4
50	 142	 89	 648	 6142.49	 6177.25	 SiI	 NiI	 4004.26	 1358.45	 -338.56	 32.32	 4483	 6218	 0.24	 3.75	 1.44	 2
51	 143	 87	 587	 6142.49	 6082.72	 SiI	 FeI	 7251.77	 -1892.83	 422.10	 -23.04	 4597	 6374	 0.56	 8.04	 1.66	 4
52	 144	 76	 483	 6142.49	 6120.25	 SiI	 FeI	 4885.52	 1078.34	 -308.19	 461.33	 4483	 6026	 0.44	 8.71	 2.32	 6
53	 153	 92	 645	 6145.02	 6091.18	 SiI	 TiI	 6783.97	 -3084.19	 1662.63	 -306.22	 4597	 6361	 0.20	 7.19	 0.98	 4
54	 154	 70	 651	 6145.02	 6126.22	 SiI	 TiI	 6624.96	 -1700.53	 530.54	 -55.57	 4614	 6361	 0.29	 11.38	 1.50	 4
55	 155	 86	 639	 6145.02	 6081.45	 SiI	 VI	 6411.08	 -1912.66	 804.88	 -116.52	 4597	 6289	 0.16	 9.84	 1.23	 4
56	 156	 88	 651	 6145.02	 6090.21	 SiI	 VI	 6792.60	 -1455.68	 311.67	 -15.14	 4671	 6361	 0.40	 15.57	 1.83	 4
57	 157	 81	 613	 6145.02	 6111.65	 SiI	 VI	 6232.35	 -1708.75	 730.29	 -105.75	 4722	 6146	 0.12	 11.59	 1.28	 4
58	 158	 82	 614	 6145.02	 6135.36	 SiI	 VI	 6258.59	 -1998.33	 987.45	 -169.09	 4597	 6146	 0.12	 8.85	 1.09	 4
59	 159	 96	 643	 6145.02	 6216.35	 SiI	 VI	 7033.72	 -1761.03	 481.69	 -44.33	 4671	 6289	 0.48	 16.77	 2.13	 4
60	 161	 75	 660	 6145.02	 6128.98	 SiI	 NiI	 6896.03	 -2195.27	 714.75	 -80.81	 4497	 6374	 0.31	 3.98	 1.16	 4
61	 162	 98	 646	 6145.02	 6177.25	 SiI	 NiI	 4039.83	 1126.70	 -229.26	 17.30	 4483	 6146	 0.40	 4.23	 1.64	 2
62	 163	 80	 590	 6145.02	 6082.72	 SiI	 FeI	 7178.52	 -1992.42	 437.04	 -11.98	 4590	 6374	 0.42	 5.67	 1.43	 4
63	 164	 83	 479	 6145.02	 6120.25	 SiI	 FeI	 4828.68	 981.47	 -41.69	 245.35	 4497	 6026	 0.48	 9.86	 2.70	 6
64	 178	 97	 583	 6195.46	 6135.36	 SiI	 VI	 6518.66	 -1478.76	 441.83	 -42.66	 4724	 6287	 0.19	 12.42	 2.02	 4
65	 180	 86	 510	 6195.46	 6224.51	 SiI	 VI	 6184.41	 -1320.22	 447.17	 -49.40	 4677	 6026	 0.20	 12.23	 1.95	 4
66	 181	 100	 600	 6195.46	 6251.83	 SiI	 VI	 6436.66	 -853.05	 150.46	 -8.25	 4724	 6361	 0.27	 19.28	 3.05	 4
67	 183	 100	 643	 6195.46	 6177.25	 SiI	 NiI	 5530.28	 2448.11	 -308.04	 -3553.98	 4497	 6374	 0.22	 2.57	 0.87	 6
68	 197	 115	 666	 6237.33	 6258.11	 SiI	 TiI	 4686.92	 -472.80	 2113.80	 -797.37	 4483	 6289	 0.10	 1.78	 0.82	 2
69	 199	 89	 658	 6237.33	 6216.35	 SiI	 VI	 4485.39	 807.26	 36.40	 -44.61	 4483	 6289	 0.10	 3.01	 1.04	 2
70	 200	 73	 563	 6237.33	 6224.51	 SiI	 VI	 4892.09	 708.28	 288.14	 -128.35	 4483	 6026	 0.18	 15.74	 3.17	 6
71	 201	 77	 611	 6237.33	 6251.83	 SiI	 VI	 4491.87	 770.39	 -166.95	 13.19	 4497	 6052	 0.12	 6.07	 1.65	 2
72	 202	 85	 617	 6237.33	 6274.66	 SiI	 VI	 4953.25	 861.96	 343.84	 -254.53	 4483	 6091	 0.16	 12.83	 2.80	 6
73	 203	 81	 605	 6237.33	 6285.17	 SiI	 VI	 4479.19	 605.90	 -105.93	 6.72	 4483	 6051	 0.14	 7.94	 2.15	 2
74	 209	 118	 608	 6237.33	 6240.65	 SiI	 FeI	 4620.30	 -353.24	 1667.99	 -563.96	 4497	 6361	 0.22	 1.99	 0.95	 2
75	 216	 102	 635	 6243.82	 6216.35	 SiI	 VI	 6831.48	 -1707.20	 477.43	 -42.88	 4648	 6289	 0.36	 9.15	 1.76	 4
76	 217	 74	 523	 6243.82	 6224.51	 SiI	 VI	 4537.53	 492.48	 -77.56	 4.48	 4483	 5827	 0.20	 6.36	 1.84	 2
77	 218	 84	 615	 6243.82	 6251.83	 SiI	 VI	 4446.35	 1079.42	 -303.96	 30.61	 4483	 6022	 0.13	 4.44	 1.20	 2
78	 219	 80	 577	 6243.82	 6274.66	 SiI	 VI	 4503.36	 649.26	 -122.52	 8.43	 4483	 5966	 0.18	 5.90	 1.67	 2
79	 220	 85	 605	 6243.82	 6285.17	 SiI	 VI	 4455.27	 806.95	 -176.76	 13.95	 4483	 6008	 0.16	 5.45	 1.56	 2
80	 221	 105	 635	 6243.82	 6177.25	 SiI	 NiI	 3964.75	 1062.34	 -202.11	 13.92	 4483	 6146	 0.42	 5.01	 1.93	 2
81	 226	 107	 592	 6243.82	 6240.65	 SiI	 FeI	 7866.52	 -2683.16	 649.55	 -26.70	 4597	 6403	 0.65	 4.24	 1.57	 4
82	 232	 103	 635	 6244.48	 6216.35	 SiI	 VI	 7025.55	 -2018.12	 602.11	 -55.70	 4654	 6289	 0.39	 22.53	 1.85	 4
83	 233	 74	 517	 6244.48	 6224.51	 SiI	 VI	 4558.66	 435.80	 -56.07	 2.34	 4483	 5801	 0.08	 6.06	 1.81	 2
