nl	stddev	nstars	line	ele	c0	c1	c2	c3	c4	teffa	teffb	feha	fehb	ewa	ewb	slope
51	 0.0201678721603	 254	 5641.44	 FeI	 -1.458596e+02	 -1.199829e+01	 1.037653e-01	 -3.437716e+00	 -1.160708e-05	 1.188324e-02	 4497	 6374	 -0.84	 0.3	 29.6	 75.0	 1.00009537899
52	 0.0460877385273	 603	 5649.99	 FeI	 3.184858e+02	 9.699221e+01	 -7.755654e-02	 8.235086e+00	 4.954522e-06	 -8.656703e-03	 4625	 6403	 -0.75	 0.39	 20.1	 69.9	 1.00006342567
53	 0.0106540686938	 21	 5662.52	 FeI	 -3.326714e+02	 -1.866639e+02	 1.556736e-01	 -2.440249e+01	 -1.438375e-05	 3.717338e-02	 5215	 6178	 -0.84	 -0.21	 57.0	 74.9	 1.00021749401
54	 0.0515280158148	 377	 5667.52	 FeI	 -2.036806e+02	 -3.025782e+01	 1.182260e-01	 7.258647e-01	 -1.278243e-05	 1.540249e-02	 4483	 6403	 -0.84	 0.33	 20.5	 74.8	 1.0001184954
55	 0.0307275123045	 408	 5679.03	 FeI	 6.130857e+01	 -5.205295e+01	 2.300259e-02	 -1.007003e+01	 -4.024457e-06	 1.743821e-02	 4630	 6403	 -0.84	 0.33	 29.2	 75.0	 0.999380373116
56	 0.0109336068437	 61	 5701.55	 FeI	 1.394521e+02	 -8.630562e+00	 1.101767e-02	 -8.653066e+00	 -3.602242e-06	 8.661754e-03	 5044	 6218	 -0.84	 0.03	 52.1	 74.6	 1.00002401281
57	 0.0177740334974	 174	 5715.09	 FeI	 1.083421e+02	 1.310313e+01	 1.878896e-02	 3.793097e+00	 -4.338905e-06	 7.705283e-03	 4715	 6403	 -0.78	 0.21	 41.0	 74.9	 1.00009784749
58	 0.0272268828054	 371	 5731.77	 FeI	 6.169040e+00	 -2.120313e+01	 4.258796e-02	 -3.574901e+00	 -5.811220e-06	 1.213453e-02	 4650	 6403	 -0.84	 0.33	 25.5	 75.0	 0.999852031274
59	 0.0215430757565	 332	 5775.08	 FeI	 -1.085369e+02	 -2.198628e+01	 8.308468e-02	 -3.622279e+00	 -9.345015e-06	 1.232068e-02	 4483	 6374	 -0.84	 0.33	 27.7	 74.9	 1.00005168467
60	 0.0186574935889	 285	 5778.46	 FeI	 -1.602203e+02	 3.754656e+00	 1.018661e-01	 3.752932e+00	 -1.217165e-05	 7.206579e-03	 4497	 6161	 -0.67	 0.39	 20.0	 61.4	 1.00025296261
61	 0.0325036897621	 379	 5793.92	 FeI	 -6.523186e+01	 2.429118e+01	 5.693838e-02	 -2.948431e+00	 -6.861928e-06	 2.885893e-03	 4590	 6374	 -0.72	 0.39	 20.1	 58.1	 1.00009433035
62	 0.0361998164303	 370	 5806.73	 FeI	 -3.066621e+02	 2.251263e-01	 1.507219e-01	 -6.591845e-01	 -1.524686e-05	 9.229387e-03	 4497	 6374	 -0.84	 0.34	 21.1	 74.9	 1.00020078971
63	 0.0332484386405	 355	 5809.22	 FeI	 1.271422e+02	 8.519899e+01	 6.247798e-03	 7.089920e+00	 -3.405468e-06	 -5.417322e-03	 4497	 6374	 -0.84	 0.35	 20.1	 74.8	 0.999940943818
64	 0.0151190680348	 270	 5814.81	 FeI	 -1.676067e+02	 2.015587e+01	 9.016556e-02	 6.279682e+00	 -9.899317e-06	 3.709308e-03	 4550	 6161	 -0.48	 0.39	 20.1	 46.4	 1.00014747396
65	 0.0397230636242	 113	 5827.88	 FeI	 -1.706535e+02	 8.687129e+00	 9.184514e-02	 1.247253e+01	 -1.050779e-05	 4.480820e-03	 4590	 5886	 -0.3	 0.39	 20.1	 39.5	 1.00276614291
66	 0.0357097599678	 329	 5916.26	 FeI	 1.345868e+01	 -2.859833e+01	 4.878235e-02	 -4.016431e+00	 -7.190789e-06	 1.299196e-02	 4630	 6374	 -0.78	 0.33	 21.9	 74.9	 1.0000321519
67	 0.0191667050225	 51	 5930.19	 FeI	 -1.117979e+02	 -2.187645e+02	 7.583095e-02	 -2.705527e+01	 -7.297854e-06	 4.309304e-02	 5205	 6178	 -0.84	 -0.15	 53.0	 74.8	 0.999613551621
68	 0.0230817406971	 293	 5956.70	 FeI	 1.190976e+02	 -6.555564e+00	 2.256229e-02	 3.795692e+00	 -5.923139e-06	 9.351497e-03	 4780	 6403	 -0.78	 0.35	 20.7	 75.0	 1.00012293067
69	 0.0233494592847	 301	 6027.06	 FeI	 -9.939084e+01	 -4.278891e+01	 7.770213e-02	 -3.539378e+00	 -8.529402e-06	 1.539091e-02	 4590	 6374	 -0.84	 0.3	 37.1	 74.9	 1.0003378523
70	 0.0527260248596	 557	 6096.67	 FeI	 2.901805e+02	 1.100626e+02	 -5.652837e-02	 -1.592488e+00	 2.245229e-06	 -1.062009e-02	 4630	 6374	 -0.78	 0.39	 20.2	 74.9	 1.00035845593
71	 0.0187549439658	 367	 6151.62	 FeI	 -2.696654e+01	 -1.425158e+01	 6.390755e-02	 8.076732e-01	 -8.741745e-06	 1.062117e-02	 4497	 6374	 -0.84	 0.35	 20.0	 75.0	 1.00007048431
72	 0.0366852019846	 329	 6157.73	 FeI	 -1.419893e+02	 -5.632442e+01	 9.256501e-02	 -1.255248e+01	 -9.920588e-06	 1.693332e-02	 4483	 6374	 -0.84	 0.35	 34.4	 74.8	 1.00054549588
73	 0.0148481490655	 188	 6173.34	 FeI	 2.245173e+02	 -1.138607e+01	 -2.058057e-02	 -3.364864e+00	 -1.105633e-06	 1.003642e-02	 5015	 6361	 -0.78	 0.3	 38.4	 75.0	 1.00001507945
74	 0.0355455494968	 435	 6187.99	 FeI	 1.320385e+02	 2.495062e+01	 2.786746e-03	 -5.323883e-01	 -2.999239e-06	 4.910417e-03	 4590	 6403	 -0.84	 0.35	 20.3	 75.0	 0.999945312239
75	 0.0154155567247	 150	 6200.32	 FeI	 1.492918e+02	 -6.852545e+01	 5.046594e-03	 -9.935556e+00	 -3.165853e-06	 1.975967e-02	 4915	 6361	 -0.78	 0.21	 47.3	 74.8	 0.999891101592
76	 0.0157859943592	 76	 6213.44	 FeI	 -6.018346e+01	 -7.678736e+01	 7.439401e-02	 -9.734694e+00	 -8.649631e-06	 1.971148e-02	 5215	 6374	 -0.84	 0.18	 51.4	 74.7	 1.00010298222
77	 0.0107220794151	 29	 6219.29	 FeI	 -9.631976e+01	 -1.555492e+02	 8.065425e-02	 -1.274504e+01	 -8.524032e-06	 3.237760e-02	 5215	 6178	 -0.84	 -0.15	 57.0	 74.7	 1.00001014642
78	 0.0142691943172	 77	 6232.65	 FeI	 3.965254e+02	 6.032162e+00	 -7.464282e-02	 -6.661306e+00	 3.516511e-06	 7.767774e-03	 5044	 6374	 -0.84	 0.18	 45.9	 74.9	 1.00001323604
79	 0.0193856081155	 374	 6240.65	 FeI	 -5.092908e+01	 -1.346716e+01	 7.218602e-02	 1.750374e+00	 -9.481486e-06	 1.074846e-02	 4575	 6403	 -0.78	 0.35	 21.2	 74.7	 1.00009167435
80	 0.00944524174502	 48	 6265.14	 FeI	 9.482746e+01	 -1.517146e+01	 2.571999e-02	 -4.425726e+00	 -4.765465e-06	 9.615629e-03	 5215	 6374	 -0.84	 0.04	 55.1	 74.8	 1.00000930488
81	 0.018182918298	 381	 6270.23	 FeI	 -8.377011e+01	 -4.152283e+00	 8.045624e-02	 2.040124e+00	 -9.847893e-06	 9.177291e-03	 4575	 6374	 -0.84	 0.35	 21.3	 74.7	 1.00009330845
